"Response ID","Date submitted","Last page","Start language","Seed","Do you have experience with SCRUM?","How many years of expirience do you have with SCRUM?","Which SCRUM roles have you primarily taken on? [Product Owner]","Which SCRUM roles have you primarily taken on? [SCRUM team member]","Which SCRUM roles have you primarily taken on? [SCRUM master]","Which SCRUM roles have you primarily taken on? [Other]","How helpful do you find the following KPIs for SCRUM purposes? [Capacity (How many Story Points can a Team theoretically do in a Sprint?)][Scale 1]","How helpful do you find the following KPIs for SCRUM purposes? [Capacity (How many Story Points can a Team theoretically do in a Sprint?)][Scale 2]","How helpful do you find the following KPIs for SCRUM purposes? [Number of planned Tickets][Scale 1]","How helpful do you find the following KPIs for SCRUM purposes? [Number of planned Tickets][Scale 2]","How helpful do you find the following KPIs for SCRUM purposes? [Number of done Tickets][Scale 1]","How helpful do you find the following KPIs for SCRUM purposes? [Number of done Tickets][Scale 2]","How helpful do you find the following KPIs for SCRUM purposes? [Commitment (Story Points planned for a Sprint)][Scale 1]","How helpful do you find the following KPIs for SCRUM purposes? [Commitment (Story Points planned for a Sprint)][Scale 2]","How helpful do you find the following KPIs for SCRUM purposes? [Overplanning ratio (Planned Story Points / Capacity)][Scale 1]","How helpful do you find the following KPIs for SCRUM purposes? [Overplanning ratio (Planned Story Points / Capacity)][Scale 2]","How helpful do you find the following KPIs for SCRUM purposes? [Amount of done Story Points][Scale 1]","How helpful do you find the following KPIs for SCRUM purposes? [Amount of done Story Points][Scale 2]","How helpful do you find the following KPIs for SCRUM purposes? [Velocity (Planned Story Points / Done Story Points)][Scale 1]","How helpful do you find the following KPIs for SCRUM purposes? [Velocity (Planned Story Points / Done Story Points)][Scale 2]","How helpful do you find the following KPIs for SCRUM purposes? [Blocker Tickets (Number of 'emergency' tickets that got added during a Sprint)][Scale 1]","How helpful do you find the following KPIs for SCRUM purposes? [Blocker Tickets (Number of 'emergency' tickets that got added during a Sprint)][Scale 2]","How helpful do you find the following KPIs for SCRUM purposes? [Blocker Tickets done (Number of 'emergency' tickets that got done in the Sprint)][Scale 1]","How helpful do you find the following KPIs for SCRUM purposes? [Blocker Tickets done (Number of 'emergency' tickets that got done in the Sprint)][Scale 2]","How helpful do you find the following KPIs for SCRUM purposes? [Additional Tickets (Tickets that got added unexpectedly during the Sprint)][Scale 1]","How helpful do you find the following KPIs for SCRUM purposes? [Additional Tickets (Tickets that got added unexpectedly during the Sprint)][Scale 2]","How helpful do you find the following KPIs for SCRUM purposes? [Open Story points (How many story points are not done at the end of a Sprint and what state are they in?)][Scale 1]","How helpful do you find the following KPIs for SCRUM purposes? [Open Story points (How many story points are not done at the end of a Sprint and what state are they in?)][Scale 2]","How helpful do you find the following KPIs for SCRUM purposes? [Removed Tickets (Tickets that got removed during a Sprint)][Scale 1]","How helpful do you find the following KPIs for SCRUM purposes? [Removed Tickets (Tickets that got removed during a Sprint)][Scale 2]","Is there a KPI not listed in our survey that you find helpful in the SCRUM context? If yes, please describe it."
"15","1980-01-01 00:00:00","2","de","1590296883","Yes","less than 1 year","No","Yes","No","","3","Yes","2","No","2","No","3","No","3","No","3","No","4","No","2","No","2","No","2","No","3","No","2","No",""
"16","1980-01-01 00:00:00","2","de","1731791449","Yes","2-4 years","No","Yes","No","","5 - Very helpful","Yes","2","No","2","No","5 - Very helpful","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","3","Yes",""
"17","1980-01-01 00:00:00","2","de","1196372739","Yes","2-4 years","Yes","Yes","No","","5 - Very helpful","Yes","2","Yes","2","Yes","4","Yes","3","No","4","Yes","4","Yes","3","Yes","3","Yes","3","Yes","4","Yes","2","Yes","Team Zufriedenheit
Verhältnis Bugs zu User Storys pro Sprint
Burndown Trend"
"18","1980-01-01 00:00:00","2","de","1580818833","Yes","4+ years","No","Yes","Yes","","4","Yes","1 - Not helpful at all","No","1 - Not helpful at all","No","4","Yes","3","Yes","3","Yes","3","Yes","4","Yes","3","Yes","4","Yes","2","Yes","1 - Not helpful at all","No",""
"19","1980-01-01 00:00:00","2","de","1891931501","Yes","4+ years","No","Yes","No","","4","Yes","3","Yes","3","Yes","3","Yes","2","No","4","Yes","2","No","3","Yes","3","Yes","2","Yes","4","Yes","2","Yes",""
"20","1980-01-01 00:00:00","2","de","137533006","Yes","4+ years","No","Yes","No","","3","Yes","3","Yes","4","Yes","3","Yes","4","Yes","4","Yes","3","Yes","5 - Very helpful","Yes","4","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes",""
"21","1980-01-01 00:00:00","2","de","1103101868","Yes","4+ years","Yes","Yes","Yes","","4","Yes","1 - Not helpful at all","Yes","2","Yes","4","Yes","4","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","1 - Not helpful at all","No","1 - Not helpful at all","No","3","Yes","1 - Not helpful at all","No","3","Yes","Story Stability (was the story changed during the sprint?), Sprint Stability (how many SPs added / removed during the sprint), Bug Clusure Rate (How many bug work items the team closed vs. all work items closed during sprint), Bug Slippage (Shows ratio of how many bugs were detected in production vs sum of bugs for all environments for selected sprint), Net Flow (Netflow is difference of how many work items were closed and how many work items development started on), Cycle Time (Cycle time is a measure of the elapsed time when work starts on an item until it's ready for delivery.), Lead Time (Cycle time is a measure of the elapsed time when work starts on an item until it's ready for delivery.). KPIs around deployment - not directly connected to SCRUM (how often was deployed during a sprint, how long did deployments take, how many deployments were successful vs failed during a sprint)"
"22","1980-01-01 00:00:00","2","de","302095154","Yes","2-4 years","No","Yes","No","","5 - Very helpful","Yes","2","No","2","No","5 - Very helpful","Yes","4","Yes","4","Yes","4","Yes","3","No","3","No","4","Yes","5 - Very helpful","Yes","3","No",""
"23","1980-01-01 00:00:00","2","en","2097137312","Yes","4+ years","No","Yes","Yes","","3","Yes","1 - Not helpful at all","No","1 - Not helpful at all","No","1 - Not helpful at all","No","1 - Not helpful at all","No","3","Yes","3","Yes","1 - Not helpful at all","No","1 - Not helpful at all","No","1 - Not helpful at all","No","1 - Not helpful at all","No","1 - Not helpful at all","No",""
"24","1980-01-01 00:00:00","2","en","90658176","Yes","4+ years","Yes","No","No","","5 - Very helpful","Yes","4","No","4","No","5 - Very helpful","Yes","2","No","3","No","3","No","4","Yes","2","No","3","Yes","4","Yes","2","No",""
"25","1980-01-01 00:00:00","2","de","1872594806","Yes","4+ years","No","Yes","No","","4","Yes","3","Yes","3","Yes","4","Yes","2","Yes","4","Yes","4","Yes","3","No","3","No","2","No","4","Yes","2","No",""
"26","1980-01-01 00:00:00","2","de","539139689","No","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","1980-01-01 00:00:00","2","en","380900058","Yes","2-4 years","Yes","Yes","No","","4","Yes","3","No","3","No","2","Yes","2","No","4","Yes","3","Yes","3","No","3","No","3","No","3","No","3","No",""
"30","1980-01-01 00:00:00","2","en","957970318","Yes","2-4 years","No","Yes","No","","4","Yes","1 - Not helpful at all","Yes","1 - Not helpful at all","Yes","3","Yes","3","No","5 - Very helpful","Yes","5 - Very helpful","Yes","2","No","2","No","3","No","5 - Very helpful","Yes","3","No",""
"31","1980-01-01 00:00:00","2","en","1155957324","Yes","4+ years","No","No","Yes","Developer","3","Yes","2","Yes","2","Yes","4","Yes","4","Yes","3","Yes","4","Yes","4","No","4","No","4","No","4","Yes","4","No",""
"32","1980-01-01 00:00:00","2","en","692176720","Yes","4+ years","Yes","No","No","","5 - Very helpful","Yes","2","Yes","2","Yes","4","Yes","4","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","4","Yes","4","Yes","4","Yes","4","Yes","4","Yes","QA rejection rate (how often did an issue get rejected by the QA vs. the amount of tickets to be done)
Backlog Potential (how many storypoints are still to be done)
 "
"33","1980-01-01 00:00:00","2","en","1101990416","Yes","4+ years","No","No","Yes","","5 - Very helpful","Yes","4","Yes","5 - Very helpful","Yes","4","Yes","3","Yes","4","Yes","5 - Very helpful","Yes","2","Yes","1 - Not helpful at all","Yes","1 - Not helpful at all","No","1 - Not helpful at all","No","1 - Not helpful at all","No",""
"34","1980-01-01 00:00:00","2","de","1626234878","No","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35","1980-01-01 00:00:00","2","en","1150472378","No","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","1980-01-01 00:00:00","2","en","103579095","Yes","less than 1 year","No","Yes","No","","5 - Very helpful","Yes","4","Yes","4","Yes","5 - Very helpful","Yes","3","Yes","4","Yes","4","Yes","1 - Not helpful at all","No","1 - Not helpful at all","No","1 - Not helpful at all","No","4","Yes","1 - Not helpful at all","No",""
"40","1980-01-01 00:00:00","2","en","324699937","Yes","1-2 years","No","Yes","No","","2","No","4","Yes","4","Yes","5 - Very helpful","Yes","2","No","4","Yes","1 - Not helpful at all","No","5 - Very helpful","Yes","2","No","1 - Not helpful at all","Yes","4","Yes","1 - Not helpful at all","No",""
"41","1980-01-01 00:00:00","2","en","701356061","Yes","4+ years","Yes","No","Yes","","5 - Very helpful","Yes","1 - Not helpful at all","Yes","1 - Not helpful at all","Yes","4","Yes","4","No","5 - Very helpful","Yes","5 - Very helpful","Yes","2","No","2","No","2","No","4","Yes","2","No","Completion Rate (Story Points umgesetzt vs. Story Points committed)
Estimation accuracy (Wie viel Zeit wurde tatsächlich verbraucht vs. Ursprüngliche Schätzung)
Cycle Time / Lead Time

"
"43","1980-01-01 00:00:00","2","de","94710125","Yes","2-4 years","Yes","No","No","","5 - Very helpful","Yes","2","No","2","No","5 - Very helpful","Yes","4","Yes","4","Yes","5 - Very helpful","Yes","3","No","3","No","2","No","5 - Very helpful","Yes","2","No",""
"44","1980-01-01 00:00:00","2","en","576993365","Yes","1-2 years","No","No","Yes","","4","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","4","Yes","3","No","5 - Very helpful","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","4","Yes","5 - Very helpful","Yes","3","No","3","No",""
"46","1980-01-01 00:00:00","2","de","865076569","No","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47","1980-01-01 00:00:00","2","en","454681356","Yes","4+ years","No","Yes","No","","3","Yes","2","No","2","No","3","Yes","5 - Very helpful","Yes","4","Yes","4","Yes","2","Yes","2","No","2","Yes","4","Yes","1 - Not helpful at all","No","-"
"48","1980-01-01 00:00:00","2","en","1683375601","Yes","4+ years","No","No","No","product manager","5 - Very helpful","Yes","2","Yes","3","Yes","4","Yes","1 - Not helpful at all","No","4","Yes","3","Yes","2","No","1 - Not helpful at all","No","2","No","4","No","1 - Not helpful at all","No",""
"49","1980-01-01 00:00:00","2","en","940862057","Yes","4+ years","No","Yes","Yes","","3","No","4","Yes","3","Yes","2","No","2","No","2","No","5 - Very helpful","Yes","4","Yes","4","Yes","4","Yes","3","No","1 - Not helpful at all","No","I usually have teams that are doing versions of Kanban as well so I find historical averages to be very helpful (Monte Carlo, etc)"
"50","1980-01-01 00:00:00","2","en","1747358554","Yes","4+ years","No","Yes","No","","5 - Very helpful","Yes","5 - Very helpful","Yes","4","Yes","5 - Very helpful","Yes","1 - Not helpful at all","No","4","Yes","3","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","1 - Not helpful at all","No","3","Yes","1 - Not helpful at all","No","We usually try to include some indication of testing time required as part of a user story. There are conflicted ideas around including this, but we've found it useful, even if the testing takes much longer than originally thought."
"52","1980-01-01 00:00:00","2","en","1660303580","Yes","2-4 years","Yes","No","No","Trainer pspo1","1 - Not helpful at all","No","1 - Not helpful at all","No","1 - Not helpful at all","No","1 - Not helpful at all","No","1 - Not helpful at all","No","1 - Not helpful at all","No","1 - Not helpful at all","No","1 - Not helpful at all","No","1 - Not helpful at all","No","1 - Not helpful at all","No","1 - Not helpful at all","No","1 - Not helpful at all","No","I would not use tickets done per sprint this goes into micro management. The main purpose of story points is for the devs to determine if they can reach the sprint goal they set with the capacity that they have. If you want to measure something either measure outcome, this measures the full scrum team efficiency including po and sm, or if they reach their sprint goals, this is more for the devs but only if they can set their sprint goals themselves which they should be able to in theory however in the wild this is usually the po"
"54","1980-01-01 00:00:00","2","en","1150753895","Yes","less than 1 year","No","No","No","SCRUM-adjacent colleague observing product development process output","3","Yes","5 - Very helpful","No","5 - Very helpful","Yes","5 - Very helpful","Yes","4","Yes","4","Yes","4","Yes","3","Yes","3","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","2","Yes",""
"55","1980-01-01 00:00:00","2","en","996551215","Yes","4+ years","No","Yes","Yes","","3","Yes","5 - Very helpful","Yes","4","Yes","4","Yes","2","No","3","No","2","Yes","3","No","4","Yes","3","No","3","No","4","No",""
"56","1980-01-01 00:00:00","2","en","71769203","Yes","4+ years","No","Yes","Yes","","4","No","2","No","3","No","4","Yes","3","No","3","No","4","Yes","2","No","2","No","2","No","4","Yes","2","No",""
"57","1980-01-01 00:00:00","2","en","91364399","Yes","4+ years","No","Yes","No","","4","No","4","Yes","4","No","4","No","4","No","4","Yes","4","No","4","No","4","Yes","5 - Very helpful","Yes","4","No","3","No",""
"58","1980-01-01 00:00:00","2","en","1821477177","Yes","2-4 years","No","Yes","Yes","","4","Yes","1 - Not helpful at all","No","1 - Not helpful at all","No","4","Yes","4","No","4","Yes","4","Yes","2","No","1 - Not helpful at all","No","2","No","4","Yes","1 - Not helpful at all","No",""
"59","1980-01-01 00:00:00","2","en","551908892","Yes","4+ years","Yes","No","Yes","","3","Yes","5 - Very helpful","Yes","4","Yes","2","Yes","3","No","2","Yes","2","Yes","3","No","3","No","3","No","4","Yes","4","No",""
"60","1980-01-01 00:00:00","2","en","1385274404","Yes","4+ years","Yes","No","Yes","","5 - Very helpful","Yes","2","Yes","2","Yes","5 - Very helpful","Yes","3","Yes","4","Yes","4","Yes","3","No","3","No","2","No","3","No","2","No","Ratio of User Stories and technical dept: An increasing/decreasing ratio of technical dept over time can give insight on the quality of a product/project"
"61","1980-01-01 00:00:00","2","de","1182572480","Yes","1-2 years","No","Yes","No","","1 - Not helpful at all","Yes","4","Yes","3","No","1 - Not helpful at all","Yes","1 - Not helpful at all","Yes","2","Yes","1 - Not helpful at all","No","4","Yes","3","No","1 - Not helpful at all","No","3","Yes","1 - Not helpful at all","No",""
"62","1980-01-01 00:00:00","2","en","734342510","Yes","2-4 years","Yes","Yes","No","","3","Yes","3","No","3","No","2","Yes","2","Yes","2","Yes","3","Yes","2","No","2","No","3","No","3","No","2","No",""
"63","1980-01-01 00:00:00","2","de","977939764","Yes","1-2 years","Yes","No","No","","4","No","3","No","3","Yes","3","No","3","No","3","No","4","No","3","No","2","No","3","No","3","No","3","No",""
"64","1980-01-01 00:00:00","2","de","890664833","Yes","4+ years","Yes","No","Yes","","5 - Very helpful","Yes","3","No","3","Yes","4","Yes","1 - Not helpful at all","No","4","Yes","3","No","3","No","3","No","1 - Not helpful at all","No","5 - Very helpful","Yes","4","Yes",""
"65","1980-01-01 00:00:00","2","en","1465367113","Yes","1-2 years","Yes","No","No","","5 - Very helpful","Yes","4","Yes","4","Yes","5 - Very helpful","Yes","4","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","5 - Very helpful","Yes","3","Yes","4","Yes","4","Yes","4","Yes","We usually forget that some tickets even if defined as ""Done"" from the SCRUM-Team, will come back with some refinements from the clients (usually 1 sprint after delivery). As PO, I was very frustrated at the begining because it took 2 cycles to do minor corrections (just because there was no laps between the end of the cycle and the new cycle definition, but the testing is done a the begining of the cycle...) Finally we've decided witht the SCRUM-Team to we needed another indicator ""Small Refinement Tickets"" which was planed for the current sprint and allocate it a number of story points. "
"67","1980-01-01 00:00:00","2","en","1756476775","Yes","2-4 years","No","Yes","No","","3","Yes","2","No","2","No","2","Yes","1 - Not helpful at all","No","4","Yes","1 - Not helpful at all","No","1 - Not helpful at all","No","1 - Not helpful at all","No","1 - Not helpful at all","No","2","Yes","1 - Not helpful at all","No",""

